Federal Provider Number,Provider Name,Provider State,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Location,Processing Date
015019,MERRY WOOD LODGE CARE AND REHABILITATION CENTER,AL,4,,3,,2,,4,,4,,"130 ELMORE
AL 36025
",02/01/2017
015187,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",AL,5,,5,,4,,4,,3,,"607 MOUNDVILLE
AL 35474
",02/01/2017
015188,JACKSON HEALTH CARE FACILITY,AL,5,,5,,4,,4,,3,,"2616 NORTH COLLEGE AVENUE
JACKSON, AL 36545
",02/01/2017
015374,CAMDEN NURSING FACILITY INC.,AL,3,,2,,3,,4,,3,,"210 PONDEROSA DRIVE
CAMDEN, AL 36726
",02/01/2017
015375,ANNISTON HEALTH AND REHAB SERVICES,AL,2,,1,,5,,3,,2,,"1825 ANNISTON
AL 36207
",02/01/2017
015392,CYPRESS COVE CARE CENTER,AL,3,,4,,1,,3,,5,,"200 ALABAMA AVENUE
MUSCLE SHOALS, AL 35661
",02/01/2017
015400,MEADOWVIEW NURSING CENTER,AL,4,,3,,3,,4,,3,,"7300 OLD HIGHWAY
PELL CITY, AL 35128
",02/01/2017
015407,HEALTH CARE INC,AL,4,,2,,5,,4,,4,,"130 ASHVILLE
AL 35953
",02/01/2017
015447,MONTROSE BAY HEALTH AND REHABILITATION CENTER,AL,1,,3,,1,,1,,2,,"256 MONTROSE
AL 36559
",02/01/2017
015450,WILLOWBROOKE COURT AT MAGNOLIA TRACE,AL,4,,4,,3,,4,,4,,"ONE CROWN CIRCLE
HUNTSVILLE, AL 35802
",02/01/2017
025015,WRANGELL MEDICAL CENTER LTC,AK,5,,3,,5,,5,,5,,"1081 WRANGELL
AK 99929
",02/01/2017
025019,PETERSBURG MEDICAL CENTER LTC,AK,5,,3,,5,,5,,5,,"589 PETERSBURG
AK 99833
",02/01/2017
025026,QUYANNA CARE CENTER,AK,3,,3,,1,,5,,5,,"1100 GREG KRUSCHEK AVENUE
NOME, AK 99762
",02/01/2017
025037,YUKON KUSKOKWIM ELDER'S HOME,AK,1,,1,,1,,5,,5,,"1100 CHIEF EDDIE HOFFMAN HWY
BETHEL, AK 99559
",02/01/2017
035242,CHINLE NURSING HOME,AZ,2,,1,,5,,5,,5,,"910 CHINLE
AZ 86503
",02/01/2017
035263,ARCHIE HENDRICKS SENIOR SKILLED NURSING FACILITY,AZ,2,,1,,5,,4,,4,,"9100 SELLS
AZ 85634
",02/01/2017
045143,"CONCORDIA NURSING & REHAB, LLC",AR,1,,1,,1,,4,,4,,"7 PROFESSIONAL DRIVE
BELLA VISTA, AR 72714
",02/01/2017
045208,"CABOT HEALTH AND REHAB, LLC",AR,4,,5,,1,,2,,1,,"200 NORTH PORT DRIVE
CABOT, AR 72023
",02/01/2017
045244,LITTLE RIVER NURSING & REHAB,AR,5,,5,,3,,3,,2,,"162 HWY
ASHDOWN, AR 71822
",02/01/2017
045248,SOUTHFORK RIVER THERAPY AND LIVING,AR,5,,4,,5,,3,,3,,"624 HWY
SALEM, AR 72576
",02/01/2017
045312,MONETTE MANOR LLC,AR,1,,1,,4,,1,,1,,"669 HWY
MONETTE, AR 72447
",02/01/2017
045366,"HERITAGE SQUARE NURSING AND REHABILITATION CENTER,",AR,5,,5,,5,,3,,2,,"710 NO
BLYTHEVILLE, AR 72316
",02/01/2017
045391,THREE RIVERS HEALTHCARE AND REHABILITATION,AR,4,,3,,5,,2,,1,,"33904 HIGHWAY
MARKED TREE, AR 72365
",02/01/2017
045427,"SHILOH NURSING AND REHAB, LLC",AR,5,,4,,5,,4,,3,,"1092 WEST STULTZ ROAD
SPRINGDALE, AR 72764
",02/01/2017
045437,"STONEGATE VILLA HEALTH AND REHABILITATION, LLC",AR,2,,1,,3,,4,,3,,"118 JERRY SELBY DRIVE
CROSSETT, AR 71635
",02/01/2017
045438,TRINITY VILLAGE MEDICAL CENTER,AR,2,,2,,3,,2,,1,,"6400 TRINITY DRIVE
PINE BLUFF, AR 71603
",02/01/2017
045443,RANDOLPH COUNTY NURSING HOME,AR,1,,1,,3,,3,,2,,"500 CAMP ROAD
POCAHONTAS, AR 72455
",02/01/2017
045448,"DEERVIEW, LLC",AR,3,,2,,2,,4,,3,,"502 WEST PENNINGTON
OLA, AR 72853
",02/01/2017
045456,PINK BUD HOME FOR THE GOLDEN YEARS,AR,2,,1,,5,,3,,2,,"400 SO
GREENWOOD, AR 72936
",02/01/2017
04A293,ARKANSAS HEALTH CENTER,AR,4,,4,,2,,4,,4,,"6701 HWY
BENTON, AR 72015
",02/01/2017
055084,RIVERBANK NURSING CENTER,CA,4,,4,,3,,2,,1,,"2649 WEST TOPEKA AVENUE
RIVERBANK, CA 95367
",02/01/2017
055168,SOCAL POST-ACUTE CARE,CA,5,,3,,5,,4,,4,,"7931 S SORENSON AVE
WHITTIER, CA 90606
",02/01/2017
055261,PILGRIM PLACE HEALTH SERVICES CENTER,CA,3,,2,,5,,3,,2,,"721 W HARRISON ST
CLAREMONT, CA 91711
",02/01/2017
055293,SANTA ANITA CONVALESCENT HOSP,CA,2,,1,,4,,4,,3,,"5522 GRACEWOOD AVE
TEMPLE CITY, CA 91780
",02/01/2017
055408,BELLFLOWER POST ACUTE,CA,2,,1,,4,,4,,3,,"9710 E ARTESIA AVE
BELLFLOWER, CA 90706
",02/01/2017
055706,THE ORCHARD - POST ACUTE CARE,CA,2,,1,,5,,4,,4,,"12385 E WASHINGTON BLVD
WHITTIER, CA 90606
",02/01/2017
056077,THE TAMALPAIS,CA,5,,4,,5,,5,,5,,"501 VIA
GREENBRAE, CA 94904
",02/01/2017
056416,MAYERS MEMORIAL HOSPITAL,CA,1,,1,,1,,4,,4,,"43563 HWY
FALL RIVER MILLS, CA 96028
",02/01/2017
05A109,COMMUNITY CARE CENTER,CA,5,,4,,5,,3,,3,,"2335 S MOUNTAIN AVE
DUARTE, CA 91010
",02/01/2017
05A110,GRACE HOME INC.,CA,4,,3,,3,,4,,4,,"13435 WEST PEACH AVENUE
LIVINGSTON, CA 95334
",02/01/2017
